block_group,literacy_scor
320030000101,0.192901702
320030000102,0.208164131
320030000103,0.198205134
320030000104,0.170651688
320030000105,0.14965911
320030000201,0.32164378
320030000203,0.165818992
320030000204,0.098165797
320030000301,0.308456117
320030000302,0.215717758
320030000400,0.389539093
320030000503,0.614705303
320030000504,0.605827807
320030000510,0.559124596
320030000511,0.487827229
320030000512,0.346294712
320030000513,0.194045083
320030000514,0.275165773
320030000515,0.253654057
320030000516,0.250122817
320030000517,0.218959021
320030000518,0.278583926
320030000519,0.352294704
320030000600,0.315764017
320030000700,0.219938389
320030000800,0.377873522
320030000900,0.30710195
320030001003,0.111487938
320030001004,0.146029951
320030001005,0.05736459
320030001006,0.074002149
320030001100,0.563488934
320030001200,0.265104414
320030001300,0.236154584
320030001400,0.356881803
320030001500,0.213520732
320030001606,
320030001607,0.127255531
320030001608,0.207407534
320030001609,0.205690322
320030001610,0.144173621
320030001611,0.138677885
320030001612,0.13561202
320030001613,0.201039805
320030001706,0.073394858
320030001707,0.096994823
320030001708,0.085782847
320030001709,0.06176034
320030001710,0.124942485
320030001711,0.15077483
320030001712,0.082011657
320030001713,0.0906098
320030001714,0.085439571
320030001715,0.145422996
320030001716,0.11753783
320030001717,0.057021049
320030001718,0.266921696
320030001801,0.119063708
320030001803,0.124494152
320030001804,0.178978602
320030001901,0.29752794
320030001902,0.246735821
320030002000,0.217283579
320030002201,0.217515107
320030002203,0.292054761
320030002204,0.594427395
320030002205,0.415766483
320030002300,0.279858004
320030002403,0.320406154
320030002404,0.375021213
320030002405,0.602996154
320030002406,0.210005643
320030002501,0.215927729
320030002504,0.143507886
320030002505,0.290078076
320030002506,0.315548661
320030002601,0.067721857
320030002602,0.329438527
320030002603,0.154692753
320030002702,0.340167223
320030002706,0.224473144
320030002707,0.195234086
320030002708,0.202377296
320030002709,
320030002807,0.101578476
320030002808,0.075175898
320030002809,0.070814871
320030002810,0.107366641
320030002811,0.07326092
320030002814,0.074282769
320030002815,0.052719147
320030002816,0.091555258
320030002817,0.073065031
320030002818,0.068476741
320030002821,0.085568101
320030002822,0.167674732
320030002823,0.112147866
320030002824,0.074635628
320030002825,0.081242161
320030002826,0.073045931
320030002827,0.077635436
320030002828,0.079354725
320030002829,0.067458025
320030002830,0.070796827
320030002831,0.135530813
320030002832,0.111010143
320030002833,0.082486214
320030002834,0.06480425
320030002835,0.103051073
320030002836,0.072938851
320030002905,0.091487884
320030002912,0.159115195
320030002915,0.071291814
320030002916,0.063243698
320030002919,0.102598965
320030002925,0.136470245
320030002927,
320030002935,0.082055072
320030002936,0.106864045
320030002937,0.130242223
320030002938,0.061312436
320030002939,0.052683307
320030002940,0.141885235
320030002941,0.122364958
320030002942,0.102529764
320030002944,0.11510735
320030002946,0.125203998
320030002947,0.052015915
320030002948,0.107876696
320030002949,0.143831503
320030002950,0.117878385
320030002951,0.100055142
320030002952,0.131966975
320030002953,0.101162058
320030002954,0.307276597
320030002955,0.417276433
320030002956,0.215189524
320030002957,0.070080915
320030002958,0.124138634
320030002960,0.106965583
320030002961,0.07872279
320030002962,0.070995339
320030002963,0.064511409
320030003001,0.098712235
320030003003,0.081420241
320030003004,0.066512568
320030003005,0.071482891
320030003006,0.094525316
320030003101,0.110796325
320030003102,0.133552519
320030003203,0.050933333
320030003204,0.051629023
320030003205,0.061078718
320030003206,0.060927762
320030003207,0.064939519
320030003208,0.049485412
320030003209,0.075918686
320030003210,0.074408898
320030003211,0.06609734
320030003212,0.064558221
320030003213,0.060907381
320030003214,0.067878777
320030003215,0.060992393
320030003216,0.05659785
320030003217,0.056013812
320030003218,0.040908187
320030003219,0.059248812
320030003220,0.075364468
320030003221,0.057826107
320030003222,0.057353956
